error_type	sentence	model prediction	generated sentences	generated sentences eval			count genereted senteces		count original
			For the men and women it is important their appearance and they spend a lot of money buying clothes cosmetics accessories jewels etc	introducing error					
			For the men and women it is important the appearance and they spend a lot of money buying clothes cosmetic accessories jewels etc	introducing error					
			For the men and women it is important the appearance and they spent a lot of money in buy clothes cosmetics accessories jewels etc	introducing error					
W	Firstly , I 'm writing to thank you the great opportunity you give us , especially in planing all this programme in a such acurate way .	plausible	Firstly, I'm writing to thank you for the great opportunity you give us, especially in planning all this programme in such an accurate way.	fully					
			Firstly, I'm writing to thank you for the great opportunity you have given us, especially in planning all this programme in a such accurate way.	partially -					
			Firstly, I'm writing to thank you for the great opportunity you have given us, especially in planning all this program in a such accurate way.	partially -					
			Firstly, I'm writing to thank you for the great opportunity you gave us, especially in planning all this programme in a such accurate way.	partially -					
			Firstly, I'm writing to thank you for the great opportunity you gave us, especially in planning all this program in such an accurate way.	fully					
W	I will only be able to set off in July and I also will give my thesis to my teacher in August .	plausible	I will only be able to set off in July and I will also give my thesis to my teacher in August.	partially +					
			I will only be able to set out in July and I will also give my thesis to my teacher in August.	partially +					
			I will only be able to leave in July and I will also give my thesis to my teacher in August.	partially +					
			I will only be able to depart in July and I will also give my thesis to my teacher in August.	partially +					
			I will only be able to set off in July and I will give my thesis to my teacher in August.	partially +					
W	To spend the two weeks I would prefer to live in tents , that 's in my opinion a way to be nearer the enviroment and the animals , although I do n't mind living in log cabins .	wrong	To spend the two weeks, I would prefer to live in tents. That's in my opinion a way to be nearer to the environment and the animals. Although I don't mind living in log cabins.	partially -					
			To spend the two weeks, I would prefer to live in tents. That's in my opinion a way to be nearer to the environment and the animals although I don't mind living in log cabins.	partially -					
			To spend the two weeks I would prefer to live in tents that's in my opinion a way to be nearer to the environment and the animals although I don't mind living in log cabins.	partially -					
			To spend the two weeks, I would prefer to live in tents. That's in my opinion a way to be nearer to the enviroment and the animals although I don't mind living in log cabins.	partially -					
			To spend the two weeks, I would prefer to live in tents that's in my opinion a way to be nearer to the environment and the animals although I don't mind living in log cabins.	partially -					
W	At first several days , Pat all the time was with us .	wrong	At first, several days, Pat was with us all the time.	fully					
			At first several days, Pat was with us all the time.	partially +					
			At first several days, Pat was with us.	divergent					
			At first, several days, Pat was with us.	divergent					
W	"Now many people knew the secret but Pat said everyone : """""""" I tell you a small secret , but you do n't speak , please ! """""""""	wrong	"Now many people knew the secret, but Pat said, ""I tell you a small secret, but you don't speak, please!"""	divergent					
			"Now many people knew the secret, but Pat said, ""I will tell you a small secret, but you do not speak, please!"""	divergent					
			"Now many people knew the secret, but Pat said, ""I'll tell you a small secret, but you don't speak, please!"""	divergent					
			"Now many people knew the secret, but Pat said, ""I tell you a small secret, but you don't speak please!"""	divergent					
			"Now many people knew the secret, but Pat said, ""I tell you a small secret, but you do not speak, please!"""	divergent					
W	I would like to travel in July for two reason one 's is because I totaly will finish my exam in that date and the other in the first two week I will go to Farnborought is special 10 days the presentation the Air show and will be there the delegation from my country .	wrong	I would like to travel in July for two reasons. One is because I will totally finish my exam on that date, and the other is that in the first two weeks I will go to Farnborough- it's a special 10-day Airshow with delegation from my country.	divergent					
			I would like to travel in July for two reasons. One is because I will totally finish my exams on that date, and the other is that in the first two weeks I will go to Farnborough-is special 10 days the presentation the Air show and will be there the delegation from my country.	divergent					
			I would like to travel in July for two reasons. One is because I will totally finish my exam on that date, and the other is that in the first two weeks I will go to Farnborough-special 10-day Air show with delegation from my country.	divergent					
			I would like to travel in July for two reasons. One is because I will totally finish my exams on that date, and the other is that in the first two weeks I will go to Farnborough-is special 10 days the presentation of the Air show and will be there the delegation from my country.	divergent					
			I would like to travel in July for two reasons. One is because I will totally finish my exam on that date, and the other is that in the first two weeks I will go to Farnborough-special 10-day Air show with delegations from my country.	divergent					
W	And the other they choose sometimes just for the label .	wrong	And the other they choose sometimes just for the label.	no modification					
			And the others they choose sometimes just for the label.	divergent					
			And they choose sometimes just for the label.	divergent					
			And the other is sometimes just for the label.	divergent					
			And the other they choose sometimes just for the .	divergent					
			And	divergent					
W	I m not so good as her , but I 'm going every week once to her training .	wrong	I am not as good as her, but I go to her training once a week.	fully					
			I am not so good as her, but I go to her training every week.	divergent					
			I am not so good as her, but I go to her training once a week.	partially +					
			I am not as good as her, but I go to her training.	divergent					
			I am not so good as her, but I go every week to her training.	divergent					
W	Basketball I have been playing in a team , of my town for ten years .	plausible	Basketball I have been playing on a team in my town for ten years.	divergent					
			Basketball I have been playing in a team in my town for ten years.	no modification					
			I have been playing basketball in a team in my town for ten years.	fully					
			I have been playing basketball in my town for ten years.	partially +					
			Basketball I have been playing in a team of my town for ten years.	no modification					
W	Even we could make a trip to Paris in the school holiday !	grammatical	Even we could make a trip to Paris during the school holidays!	divergent					
			Even we could make a trip to Paris in the school vacations!	divergent					
			Even though we could make a trip to Paris during the school holiday!	divergent					
			Even if we could make a trip to Paris during the school holiday!	divergent					
			Even we could make a trip to Paris on the school holiday!	divergent					
W	I think also that it will be a good idea to take some general plans of the school area.	plausible	I think also that will be a good idea to take some general plans of the school area as there is a huge background.	no modification					
			I think that will be a good idea to take some general plans of the school area as there is a huge background.	divergent					
			I think that will be a good idea to take some general plans of the school area because there is a huge background.	divergent					
			I think also that it will be a good idea to take some general plans of the school area as there is a huge background.	partially -					
			I think also that will be a good idea to take some general plans of the school area as there is a huge background history.	divergent					
W	She was a such wonderful person in our class.	wrong	She was such a wonderful person in our class.	fully					
			She was a very wonderful person in our class.	divergent					
			She was a truly wonderful person in our class.	divergent					
			She was a great wonderful person in our class.	divergent					
			She was a wonderful person in our class.	divergent					
W	Most of  the time is shopping fun and enjoyable.	wrong	Most of the time is shopping fun and enjoyable.	no modification					
			Most of the time shopping is fun and enjoyable.	fully					
			Most of the time shopping is fun and enjoyable.	fully					
			Most of the time is spent shopping, which is fun and enjoyable.	divergent					
			Most of the time is spent on shopping, which is fun and enjoyable.	divergent					
W	This kind of problem you could avoid when you look for big halls at the beginning.	wrong	This kind of problem you could avoid when you look for big halls at the beginning.	partially -					
			This kind of problem you could avoid when you look for big halls when you begin.	divergent					
			This kind of problem you could avoid when you look for big halls at first.	divergent					
			You could avoid this kind of problem when you look for big halls at the beginning.	fully					
			This kind of problem you could avoid by looking for big halls at the beginning.	divergent					
